2026-08-28 14:51:05,674 | INFO | janus.step8 | Enriched features: 33 columns
2026-08-28 14:51:05,674 | INFO | janus.step8 | Merged temp files already exist — skipping merge step.
2026-08-28 14:51:05,678 | INFO | janus.step8 | Loading merged train array into RAM ...
2026-08-28 14:51:07,745 | INFO | janus.step8 | X_train: (7330071, 243) (7.1 GB)
2026-08-28 14:51:07,758 | INFO | janus.step8 | Class balance: neg=7,320,851, pos=9,220, scale_pos_weight=794.0
2026-08-28 14:51:07,758 | INFO | janus.step8 | Training enriched XGBoost (n_estimators=300, max_depth=6, 243 features) ...
2026-08-28 14:51:07,758 | INFO | janus.step8 | (eval_set omitted to save 1.7 GB RAM — test eval after training)
2026-08-28 15:10:27,688 | INFO | janus.step8 | Training time: 1159.9 s
2026-08-28 15:10:28,029 | INFO | janus.step8 | Loading merged test array for evaluation ...
2026-08-28 15:10:29,959 | INFO | janus.step8 | X_test: (1827841, 243)
2026-08-28 15:10:29,959 | INFO | janus.step8 | Predicting on test set ...
2026-08-28 15:10:31,348 | INFO | janus.step8 | ======================================================================
2026-08-28 15:10:31,348 | INFO | janus.step8 | ENRICHED MODEL — HEADLINE METRICS
2026-08-28 15:10:31,348 | INFO | janus.step8 | AUC-PR  (primary) : 0.817069
2026-08-28 15:10:31,348 | INFO | janus.step8 | ROC-AUC (secondary): 0.999024
2026-08-28 15:10:31,348 | INFO | janus.step8 | ----------------------------------------------------------------------
2026-08-28 15:10:31,348 | INFO | janus.step8 | BEST-F1 THRESHOLD ANALYSIS
2026-08-28 15:10:31,348 | INFO | janus.step8 | Threshold: 0.9497
2026-08-28 15:10:31,348 | INFO | janus.step8 | F1: 0.7517 | Precision: 0.7856 | Recall: 0.7205
2026-08-28 15:10:31,350 | INFO | janus.step8 | ----------------------------------------------------------------------
2026-08-28 15:10:31,350 | INFO | janus.step8 | Classification report @ threshold=0.9497 (best F1):
2026-08-28 15:10:31,517 | INFO | janus.step8 | 
              precision    recall  f1-score   support

           0     0.9997    0.9998    0.9997   1825558
           1     0.7856    0.7205    0.7517      2283

    accuracy                         0.9994   1827841
   macro avg     0.8926    0.8601    0.8757   1827841
weighted avg     0.9994    0.9994    0.9994   1827841

2026-08-28 15:10:31,702 | INFO | janus.step8 | ----------------------------------------------------------------------
2026-08-28 15:10:31,702 | INFO | janus.step8 | THRESHOLD SWEEP:
2026-08-28 15:10:31,702 | INFO | janus.step8 | Threshold    Precision    Recall       F1          
2026-08-28 15:10:31,702 | INFO | janus.step8 | 0.1000       0.0659       0.9912       0.1236      
2026-08-28 15:10:31,702 | INFO | janus.step8 | 0.2000       0.0963       0.9785       0.1753      
2026-08-28 15:10:31,702 | INFO | janus.step8 | 0.3000       0.1273       0.9698       0.2251      
2026-08-28 15:10:31,702 | INFO | janus.step8 | 0.4000       0.1628       0.9597       0.2784      
2026-08-28 15:10:31,702 | INFO | janus.step8 | 0.5001       0.2034       0.9431       0.3347      
2026-08-28 15:10:31,702 | INFO | janus.step8 | 0.6001       0.2558       0.9242       0.4007      
2026-08-28 15:10:31,702 | INFO | janus.step8 | 0.7000       0.3276       0.9010       0.4805      
2026-08-28 15:10:31,702 | INFO | janus.step8 | 0.8001       0.4402       0.8730       0.5853      
2026-08-28 15:10:31,702 | INFO | janus.step8 | 0.9000       0.6287       0.7994       0.7038      
2026-08-28 15:10:31,702 | INFO | janus.step8 | ----------------------------------------------------------------------
2026-08-28 15:10:31,702 | INFO | janus.step8 | Measuring single-window CPU inference latency ...
2026-08-28 15:10:31,977 | INFO | janus.step8 | Latency (1000 runs): mean=0.268 ms, p95=0.298 ms
2026-08-28 15:10:31,977 | INFO | janus.step8 | ----------------------------------------------------------------------
2026-08-28 15:10:31,977 | INFO | janus.step8 | TOP 30 FEATURES BY IMPORTANCE (gain)
2026-08-28 15:10:31,990 | INFO | janus.step8 | Rank  Feature                                   Importance  Notes
2026-08-28 15:10:31,990 | INFO | janus.step8 | 1     chip_Chip Transaction_t1                      0.2516
2026-08-28 15:10:31,991 | INFO | janus.step8 | 2     merchant_user_count                           0.1156
2026-08-28 15:10:31,991 | INFO | janus.step8 | 3     first_city_state                              0.0369
2026-08-28 15:10:31,991 | INFO | janus.step8 | 4     merch_large_tx_rate                           0.0219
2026-08-28 15:10:31,991 | INFO | janus.step8 | 5     merch_hist_amount_mean                        0.0190
2026-08-28 15:10:31,991 | INFO | janus.step8 | 6     mcc_user_count                                0.0168
